event_id,timestamp_utc,country,region,city,site_code,latitude,longitude,agent_id,agent_rank,agent_clearance,team_id,operation_id,operation_codename,operation_type,target_sector,target_importance_score,target_risk_level,intel_source_primary,intel_source_secondary,intel_confidence_score,threat_score_overall,threat_financial,threat_cyber,threat_physical,money_moved_usd,records_exfiltrated,compromised_accounts,channel_email,channel_phone,channel_darknet,channel_field_meet,status,triage_priority,requires_manual_review,escalated_to_level,false_positive_flag,model_version,notes_short,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60
EVT-0001661,2024-01-13 09:06:59,CZ,EU-CENTRAL,Prague,CZ-563,48.96632,15.47933,AG-2839,HQ,CONFIDENTIAL,T-022,OP-2024-001661,SPECTRUM-738,INSIDER_TRADING,Finance,9,CRITICAL,CYBINT,FININT,62,30,37,37,13,161711,2235,39,N,N,N,N,IN_REVIEW,P1,Y,2,N,aurora-2.0,possible duplicate event,41.07,17.68,36.05,16.12,36.86,25.77,31.37,35.92,38.57,40.94,18.46,20.59,17.49,12.74,8.1,18.09,23.22,22.81,14.9,15.64,27.27,22.72,24.51,16.03,21.53,21.84,20.41,15.72,22.37,23.71,100,100,100,100,100,100,100,100,100,100,43.67,0,0.05,0,21.99,15.85,53.26,31.02,7.02,60.51,12.88,20.38,50.5,19.57,55.55,54.61,29.44,6.38,0,0
EVT-0001667,2024-02-06 22:17:21,CZ,EU-CENTRAL,Prague,CZ-471,50.39724,14.92436,AG-9354,ANALYST,SECRET,T-011,OP-2024-001667,PHOENIX-776,RANSOMWARE,Telecom,10,CRITICAL,SIGINT,FININT,57,80,81,90,65,372416,4540,163,N,N,Y,N,IN_REVIEW,P1,Y,2,N,aurora-1.1,possible duplicate event,90.49,75.47,64.36,74.14,81.22,78.14,74.85,78.12,66.23,89.66,39.7,40.28,34.27,42.6,33.78,34.98,36.59,29.32,36.41,41.55,48.85,51.41,42.56,55.94,49.27,48.22,41.2,37.2,40.7,39.42,100,100,100,100,100,100,100,100,100,100,30.48,51.53,44.59,59.93,31.89,36.61,68.02,24.19,8.88,50.85,31.97,70.89,73.0,53.31,69.26,0,64.66,64.33,53.5,37.57
EVT-0001676,2024-04-27 16:00:38,CZ,EU-CENTRAL,Prague,CZ-318,49.70611,15.38988,AG-3589,HQ,CONFIDENTIAL,T-018,OP-2024-001676,PHOENIX-300,RANSOMWARE,Logistics,1,MEDIUM,HUMINT,OSINT,64,56,55,65,44,295915,2127,113,Y,N,N,N,CLOSED,P3,N,0,N,aurora-1.1,anomaly detected,61.15,40.63,59.97,59.47,48.22,49.89,44.29,55.57,35.58,55.16,30.78,29.94,26.73,27.59,23.15,26.75,21.64,21.61,24.68,23.03,23.08,18.11,20.14,18.6,13.61,23.0,21.21,19.33,15.1,24.3,49.24,48.78,32.35,57.25,54.42,47.97,34.33,45.95,43.36,49.91,49.42,37.08,43.79,13.13,64.49,4.62,10.4,10.44,27.5,2.17,12.53,19.0,24.86,4.74,15.17,20.79,10.02,34.0,1.38,30.52
EVT-0001680,2024-01-03 06:00:06,CZ,EU-CENTRAL,Prague,CZ-183,51.04482,13.93941,AG-9022,FIELD,SECRET,T-020,OP-2024-001680,DEEPBLUE-706,RANSOMWARE,Energy,7,MEDIUM,FININT,OSINT,56,53,59,65,30,283675,2320,108,N,N,N,N,IN_REVIEW,P3,N,0,N,aurora-1.1,incomplete metadata,46.04,60.24,57.01,80.38,53.17,50.75,43.55,37.73,59.17,47.97,31.37,24.89,24.11,29.18,26.92,23.15,27.29,25.81,27.74,25.86,21.19,18.19,18.86,17.7,19.06,27.48,22.5,20.33,19.72,14.17,89.37,87.24,100,94.6,99.48,89.8,100,100,91.01,89.61,0,14.38,14.03,5.01,12.86,0,13.33,21.84,20.69,16.2,34.14,0,33.43,14.49,22.62,40.63,25.07,45.31,1.76,39.75
EVT-0001704,2024-11-06 16:46:53,CZ,EU-CENTRAL,Prague,CZ-834,50.72803,14.1028,AG-2769,HQ,SECRET,T-026,OP-2024-001704,DEEPBLUE-933,MONEY_LAUNDERING,Energy,3,MEDIUM,HUMINT,CYBINT,80,44,41,63,23,204570,1727,93,Y,Y,N,Y,IN_REVIEW,P3,N,1,N,aurora-1.1,cross-border activity detected,51.43,28.88,30.39,53.89,65.89,42.55,59.9,50.36,56.09,54.99,21.4,14.68,24.25,21.66,22.59,20.6,21.99,26.7,27.71,12.7,17.36,11.39,25.09,17.9,16.36,10.73,15.06,13.24,24.51,10.95,60.37,65.1,68.91,60.91,67.4,77.89,73.23,64.17,75.91,76.09,15.49,0,5.32,20.63,8.24,23.82,7.02,11.82,36.89,50.44,1.64,42.73,9.71,43.94,0,49.33,26.25,32.25,34.58,27.46
EVT-0001723,2024-04-04 00:45:30,CZ,EU-CENTRAL,Prague,CZ-381,49.61789,14.83639,AG-8309,HQ,CONFIDENTIAL,T-002,OP-2024-001723,AURORA-135,ESPIONAGE,Defense,5,MEDIUM,SIGINT,FININT,62,61,63,64,53,317630,3183,103,Y,Y,N,N,CONFIRMED,P2,Y,2,N,aurora-1.2,incomplete metadata,64.28,63.28,48.52,54.59,47.46,73.31,52.94,69.96,61.98,64.4,24.61,31.32,18.51,30.15,37.01,42.04,20.36,29.33,38.74,26.24,28.53,29.39,31.41,33.57,29.36,31.22,28.88,29.04,34.7,32.17,77.86,87.85,72.09,84.14,84.78,80.39,89.92,69.55,100,75.41,26.14,36.29,45.57,4.94,0,27.22,43.29,13.84,28.87,28.27,18.78,20.65,30.33,42.06,51.78,23.57,21.92,37.78,44.41,38.74
EVT-0001730,2024-03-29 12:31:24,CZ,EU-CENTRAL,Prague,CZ-602,50.82466,12.69657,AG-9731,JUNIOR,TOP_SECRET,T-022,OP-2024-001730,PHOENIX-173,CYBER_INTRUSION,Telecom,6,MEDIUM,CYBINT,SIGINT,87,43,37,35,60,241166,1099,65,Y,N,N,N,DISMISSED,P3,N,1,Y,aurora-1.0,cross-border activity detected,38.47,56.3,34.94,41.78,36.05,58.25,39.09,50.75,51.12,55.84,20.35,16.51,33.12,27.05,18.9,16.08,26.32,31.17,30.66,24.46,19.87,15.19,13.59,14.92,17.22,8.99,8.16,7.3,17.91,5.46,84.79,98.06,87.97,79.41,82.6,95.45,86.47,77.74,100,96.74,29.84,34.82,0,22.54,0.84,30.8,1.27,21.26,22.62,13.59,14.58,13.23,22.35,0,36.54,15.09,16.15,43.74,19.2,35.96
EVT-0001731,2024-04-02 08:17:19,CZ,EU-CENTRAL,Prague,CZ-260,50.33264,14.49541,AG-6058,HQ,SECRET,T-024,OP-2024-001731,SPECTRUM-172,INSIDER_TRADING,Energy,7,MEDIUM,SIGINT,CYBINT,57,51,47,59,45,240153,3220,121,Y,Y,N,N,NEW,P3,N,0,N,aurora-1.1,manual verification pending,54.24,31.38,45.04,67.36,57.04,53.97,24.64,42.8,49.19,50.28,26.27,37.23,23.13,24.72,29.46,25.07,24.3,23.51,29.66,22.76,32.91,32.43,31.87,29.73,38.19,25.2,33.4,38.29,30.6,25.78,88.71,88.56,100,100,96.46,100,96.03,95.71,88.82,95.38,29.16,58.94,6.52,0,42.05,48.0,27.3,20.12,0,20.68,16.7,38.27,55.76,8.75,39.93,0,18.21,45.09,30.11,38.81
EVT-0001736,2024-11-18 23:50:02,CZ,EU-CENTRAL,Prague,CZ-548,49.59967,15.47966,AG-5499,FIELD,SECRET,T-030,OP-2024-001736,DEEPBLUE-057,CYBER_INTRUSION,Telecom,2,LOW,CYBINT,FININT,48,39,35,39,42,214773,1209,75,N,Y,N,N,IN_REVIEW,P3,N,0,N,aurora-1.2,manual verification pending,46.89,48.88,30.31,50.36,32.77,42.83,19.51,48.88,53.36,31.7,19.9,25.39,14.04,30.09,17.89,25.56,18.61,19.3,26.31,21.27,18.73,9.83,12.75,10.29,10.05,17.31,11.63,14.39,13.98,9.21,55.21,57.95,61.29,51.26,61.28,55.58,67.54,43.74,42.13,62.1,11.35,17.88,24.46,42.51,30.31,0,7.16,29.27,55.1,52.09,20.07,9.1,25.87,18.65,33.29,5.37,16.97,12.51,22.76,37.31
EVT-0001741,2024-09-22 12:47:15,CZ,EU-CENTRAL,Prague,CZ-694,50.26321,13.79694,AG-5425,FIELD,CONFIDENTIAL,T-039,OP-2024-001741,NIGHTFALL-410,INSIDER_TRADING,Government,8,MEDIUM,OSINT,SIGINT,77,46,43,47,49,270996,2447,100,Y,N,N,N,CLOSED,P3,N,0,N,aurora-1.0,possible duplicate event,52.13,68.21,29.09,34.59,46.73,42.55,61.27,65.28,51.75,45.63,25.82,29.27,26.35,33.15,30.18,27.37,27.95,22.47,24.53,34.48,23.72,26.2,32.37,18.55,35.37,24.94,21.72,19.18,30.46,23.13,100,100,100,100,100,96.11,100,100,100,100,26.84,51.44,44.72,0,32.79,18.32,20.29,28.33,36.35,21.89,0,0,15.25,25.17,37.97,17.61,3.06,11.73,21.82,2.6
EVT-0001774,2024-07-24 10:59:40,CZ,EU-CENTRAL,Prague,CZ-426,50.53892,14.18422,AG-7087,JUNIOR,TOP_SECRET,T-017,OP-2024-001774,PHOENIX-346,INSIDER_TRADING,Defense,7,MEDIUM,HUMINT,FININT,61,43,54,39,36,214247,2570,86,Y,Y,Y,Y,DISMISSED,P3,N,0,Y,aurora-1.2,possible duplicate event,32.83,43.99,35.2,53.69,38.27,42.27,30.42,41.09,39.16,36.12,20.53,29.48,20.9,20.23,21.31,31.38,22.13,18.21,28.12,31.12,22.24,20.22,26.28,26.45,28.13,16.34,19.98,22.25,24.73,28.89,100,89.52,100,100,100,95.77,95.78,100,80.62,100,18.66,0,13.13,48.57,41.93,34.14,44.35,19.59,19.71,71.38,38.27,18.75,31.08,31.98,19.41,45.15,29.21,0.5,15.81,33.25
EVT-0001779,2024-04-04 15:26:28,CZ,EU-CENTRAL,Prague,CZ-240,50.66347,13.94331,AG-1501,HQ,SECRET,T-039,OP-2024-001779,MIRAGE-773,MONEY_LAUNDERING,Education,10,CRITICAL,CYBINT,HUMINT,71,100,100,100,100,488809,5683,229,N,N,N,N,CONFIRMED,P1,Y,1,N,aurora-1.0,anomaly detected,78.81,97.34,100,99.07,96.83,80.02,90.07,74.8,100,97.35,52.72,44.94,55.05,52.61,39.28,52.54,55.5,43.79,42.99,47.31,62.27,58.37,61.16,52.92,60.32,58.69,57.64,70.21,53.45,59.16,100,100,100,100,100,100,100,100,100,100,60.7,51.14,76.9,38.77,61.45,49.78,43.75,2.27,73.38,24.62,51.9,35.28,47.17,83.42,29.07,31.26,71.04,15.38,64.06,65.4
EVT-0001788,2024-07-22 17:49:18,CZ,EU-CENTRAL,Prague,CZ-790,50.31417,14.9118,AG-4044,ANALYST,CONFIDENTIAL,T-014,OP-2024-001788,DEEPBLUE-266,ESPIONAGE,Finance,10,CRITICAL,HUMINT,SIGINT,80,66,73,78,43,326638,3117,117,Y,Y,Y,Y,IN_REVIEW,P1,N,3,N,aurora-1.2,manual verification pending,46.64,50.55,65.26,86.61,54.4,66.33,52.86,68.96,57.86,62.68,34.26,32.98,33.71,40.27,33.04,27.18,21.32,33.84,36.9,27.71,25.23,38.04,25.25,26.11,25.13,26.57,37.23,24.81,29.9,32.5,100,100,100,100,100,100,100,100,100,100,0,39.79,0,0,15.32,38.54,47.17,33.29,57.18,59.26,46.87,52.18,50.53,52.12,20.69,59.62,54.94,46.03,19.11,4.51
EVT-0001797,2024-01-31 17:26:19,CZ,EU-CENTRAL,Prague,CZ-578,48.99463,15.65758,AG-3310,HQ,CONFIDENTIAL,T-013,OP-2024-001797,PHOENIX-721,INSIDER_TRADING,Healthcare,2,LOW,FININT,OSINT,34,28,29,33,20,153925,1301,46,Y,N,Y,N,NEW,P3,N,0,N,aurora-2.0,incomplete metadata,18.95,35.01,40.55,30.04,52.74,25.3,28.51,36.01,29.1,24.63,17.27,8.54,13.29,18.15,26.67,25.22,18.77,17.19,7.73,8.38,8.19,4.91,10.17,16.66,17.72,12.68,10.21,17.06,12.55,17.61,66.55,53.46,51.63,46.32,43.55,63.7,62.98,60.56,55.61,46.59,0,0,9.36,39.39,44.63,0.53,15.55,34.74,29.61,0,14.96,0,0,7.04,26.89,27.93,26.14,7.8,38.24,5.65
EVT-0001812,2024-02-03 21:07:36,CZ,EU-CENTRAL,Prague,CZ-347,49.7626,13.15252,AG-2039,SENIOR,SECRET,T-025,OP-2024-001812,PHOENIX-048,ESPIONAGE,Finance,3,HIGH,FININT,OSINT,73,70,73,72,65,334246,3380,130,N,N,N,Y,CONFIRMED,P2,Y,1,N,aurora-1.2,pattern matches known cluster,76.25,67.09,59.35,66.72,66.98,60.23,79.88,56.01,49.67,91.65,31.89,35.66,26.97,26.91,34.52,32.6,37.41,30.25,34.05,31.26,30.91,27.45,28.54,34.9,41.75,26.72,38.31,39.58,27.14,36.83,100,100,100,95.72,100,100,100,98.73,100,100,60.42,55.23,25.09,59.5,32.65,29.91,51.07,43.27,14.52,31.96,39.13,3.43,71.95,62.87,44.78,38.78,29.65,54.09,67.58,37.42
EVT-0001818,2024-02-04 11:19:33,CZ,EU-CENTRAL,Prague,CZ-529,49.04946,12.69373,AG-6039,HQ,TOP_SECRET,T-004,OP-2024-001818,DEEPBLUE-256,INSIDER_TRADING,Telecom,3,MEDIUM,SIGINT,HUMINT,59,62,68,74,42,304537,2741,129,Y,N,N,N,CLOSED,P2,Y,3,N,aurora-2.0,pattern matches known cluster,70.6,79.38,50.78,48.23,59.53,65.99,67.67,60.52,67.43,62.73,20.32,34.32,30.29,33.43,29.92,36.68,25.75,38.56,27.64,27.67,33.95,23.34,30.61,32.92,32.89,30.47,28.08,31.44,20.75,16.96,60.52,71.61,68.79,60.58,55.19,55.5,67.16,61.9,66.04,57.82,60.5,27.86,42.25,29.3,3.57,24.28,31.55,11.61,23.83,37.56,22.25,0,31.24,23.92,42.6,30.92,18.46,22.63,56.77,38.32
EVT-0001821,2024-04-14 22:56:52,CZ,EU-CENTRAL,Prague,CZ-504,49.8517,12.97815,AG-4166,HQ,CONFIDENTIAL,T-008,OP-2024-001821,SPECTRUM-314,RANSOMWARE,Energy,9,CRITICAL,OSINT,SIGINT,67,52,64,50,42,264401,3399,107,N,N,N,N,IN_REVIEW,P1,Y,2,N,aurora-1.0,incomplete metadata,48.91,70.36,40.84,40.8,28.11,58.14,38.99,55.26,35.71,54.55,26.68,28.01,35.79,36.98,32.16,23.42,24.3,27.11,29.33,28.97,47.8,33.9,34.2,40.11,35.76,28.73,28.23,29.42,31.06,30.71,100,100,100,100,100,100,100,100,100,100,19.18,33.68,45.05,42.84,40.67,37.65,24.71,61.04,37.3,10.77,31.06,31.04,0,11.0,48.36,0,12.6,40.42,0.01,22.65
EVT-0001831,2024-07-27 07:28:55,CZ,EU-CENTRAL,Prague,CZ-610,49.37809,16.12467,AG-6934,SENIOR,SECRET,T-031,OP-2024-001831,SPECTRUM-824,ESPIONAGE,Finance,10,CRITICAL,FININT,SIGINT,74,38,46,44,21,177291,1250,58,N,Y,Y,Y,IN_REVIEW,P1,Y,1,N,aurora-1.2,anomaly detected,27.47,41.8,39.61,44.22,41.53,34.2,21.29,40.53,52.53,27.46,14.24,24.31,30.09,11.23,14.87,15.5,18.69,17.61,22.32,22.2,16.35,2.71,9.69,14.76,8.99,6.32,14.58,3.88,12.77,4.86,100,100,100,100,100,100,100,100,100,100,0,20.46,0,26.5,44.79,17.03,30.52,0,13.53,12.12,32.86,0,16.94,5.55,28.49,0,0,24.38,48.93,17.54
EVT-0001855,2024-07-04 13:33:47,CZ,EU-CENTRAL,Prague,CZ-197,51.06867,13.38582,AG-3810,JUNIOR,CONFIDENTIAL,T-012,OP-2024-001855,SPECTRUM-662,ESPIONAGE,Finance,10,CRITICAL,FININT,CYBINT,64,63,68,65,55,333720,2313,94,Y,N,Y,N,CONFIRMED,P1,Y,0,N,aurora-1.2,pattern matches known cluster,58.58,65.59,61.39,46.99,65.32,67.94,64.16,73.68,66.1,54.82,38.17,26.72,24.98,38.24,25.46,34.0,30.77,45.36,37.14,42.04,26.4,24.49,25.34,24.58,27.99,26.1,30.02,19.68,21.0,26.57,100,100,100,100,100,100,100,100,100,100,34.36,37.85,41.92,26.04,47.56,55.36,16.01,60.22,20.36,39.9,54.45,23.57,68.23,31.36,52.68,32.39,38.37,29.79,63.94,32.18
EVT-0001866,2024-08-21 19:30:27,CZ,EU-CENTRAL,Prague,CZ-411,49.815,14.86759,AG-3706,JUNIOR,TOP_SECRET,T-037,OP-2024-001866,AURORA-446,INSIDER_TRADING,Education,4,MEDIUM,OSINT,SIGINT,60,41,49,42,33,212870,1724,63,N,N,Y,Y,CLOSED,P3,N,0,N,aurora-1.0,manual verification pending,24.25,54.03,33.03,44.0,41.86,35.95,31.93,48.44,28.02,39.82,19.42,19.93,22.03,19.33,18.56,25.81,23.19,21.73,18.36,16.41,21.5,12.64,14.61,14.3,18.19,11.81,20.93,10.65,15.43,13.12,56.09,62.91,64.62,62.16,50.23,66.99,72.18,81.67,59.04,60.81,43.35,25.32,16.59,14.26,69.86,39.45,0,12.17,24.12,0,42.98,34.59,2.24,2.47,51.04,44.55,26.27,53.37,45.5,0
EVT-0001868,2024-05-28 11:36:20,CZ,EU-CENTRAL,Prague,CZ-345,50.46943,15.50964,AG-2660,ANALYST,TOP_SECRET,T-039,OP-2024-001868,NIGHTFALL-198,CYBER_INTRUSION,Logistics,1,HIGH,SIGINT,OSINT,58,66,71,60,68,285523,2928,115,Y,N,N,Y,CONFIRMED,P2,Y,1,N,aurora-1.1,manual verification pending,67.66,72.57,60.42,62.92,77.6,81.88,78.85,66.11,72.66,58.65,20.97,34.12,29.81,25.43,35.25,24.84,34.73,33.37,29.0,31.86,31.57,30.95,27.1,46.61,25.82,30.45,24.38,23.66,38.63,34.83,89.42,83.68,76.27,96.0,75.01,93.01,86.2,86.06,83.8,82.38,38.9,0,1.36,23.65,12.29,61.0,39.79,47.19,0,42.49,34.18,37.61,43.93,22.1,15.34,47.03,10.26,26.22,0,63.21
EVT-0001870,2024-07-28 01:06:45,CZ,EU-CENTRAL,Prague,CZ-161,49.25255,13.53589,AG-2755,SENIOR,CONFIDENTIAL,T-036,OP-2024-001870,PHOENIX-562,INSIDER_TRADING,Healthcare,2,HIGH,CYBINT,OSINT,88,77,74,89,64,396981,4164,171,Y,N,N,N,CONFIRMED,P2,N,3,N,aurora-1.2,cross-border activity detected,91.43,71.95,77.99,71.24,80.15,82.96,73.06,84.01,70.05,86.61,38.57,52.24,40.42,39.66,40.4,40.02,49.24,48.31,43.44,38.52,36.58,49.76,36.96,46.65,46.72,44.82,49.83,43.01,40.32,37.86,96.23,100,100,100,94.42,92.57,100,80.9,100,79.39,25.63,43.14,58.58,17.58,21.74,19.96,48.32,74.83,40.78,24.14,69.78,33.12,43.34,49.71,44.84,31.75,60.0,46.11,23.17,58.08
EVT-0001871,2024-10-14 12:28:58,CZ,EU-CENTRAL,Prague,CZ-702,51.02913,15.39121,AG-5982,ANALYST,CONFIDENTIAL,T-039,OP-2024-001871,SPECTRUM-592,ESPIONAGE,Healthcare,4,LOW,OSINT,CYBINT,47,33,33,42,22,142936,1522,94,Y,N,N,Y,IN_REVIEW,P3,N,1,N,aurora-1.1,manual verification pending,47.77,37.81,16.53,65.16,29.28,24.52,44.23,41.11,20.83,32.37,16.01,10.36,13.1,14.09,17.45,14.51,21.91,12.29,16.55,15.68,5.85,21.72,12.58,13.97,8.56,18.03,21.34,17.95,19.88,18.41,72.69,79.35,64.4,59.73,63.1,65.87,51.83,66.06,80.08,85.33,23.96,41.81,20.91,0,56.15,15.83,22.28,18.08,27.33,39.98,0,9.93,0,20.64,20.25,20.66,19.73,31.0,74.06,9.67
EVT-0001887,2024-06-07 14:46:16,CZ,EU-CENTRAL,Prague,CZ-828,50.64402,14.97355,AG-2943,HQ,CONFIDENTIAL,T-016,OP-2024-001887,PHOENIX-770,ESPIONAGE,Defense,10,CRITICAL,SIGINT,OSINT,96,50,50,61,35,245626,2490,131,Y,N,N,Y,IN_REVIEW,P1,N,2,N,aurora-1.2,possible duplicate event,36.37,62.81,55.69,54.94,37.6,67.79,86.7,48.88,49.24,47.88,29.41,23.8,22.57,26.16,23.41,31.47,21.67,24.24,22.04,21.65,13.39,16.73,28.48,20.79,26.15,26.58,15.76,25.23,22.17,28.45,100,100,100,100,100,100,100,100,100,100,12.47,18.46,22.0,49.04,0,23.16,21.68,34.49,31.51,21.41,21.93,22.79,26.52,47.25,1.65,21.43,6.96,11.21,26.3,37.29
EVT-0001908,2024-05-06 16:53:05,CZ,EU-CENTRAL,Prague,CZ-946,50.29798,15.9005,AG-4397,FIELD,SECRET,T-006,OP-2024-001908,DEEPBLUE-550,INSIDER_TRADING,Government,8,MEDIUM,FININT,SIGINT,73,63,75,60,55,342578,2934,114,N,Y,N,N,NEW,P2,Y,0,N,aurora-1.0,source reliability downgraded,55.95,54.05,66.23,57.2,73.11,64.66,59.26,65.72,63.77,71.71,36.75,30.71,26.84,33.26,35.31,41.27,35.83,43.33,36.12,32.0,27.42,24.77,25.18,31.87,30.56,36.56,28.51,31.52,21.79,40.51,100,100,100,100,100,100,95.86,100,100,93.12,80.03,47.06,37.76,3.92,13.2,21.21,33.94,36.89,24.45,36.89,43.29,24.14,0,22.18,17.43,20.25,32.11,24.66,38.81,38.34
EVT-0001912,2024-11-24 00:33:46,CZ,EU-CENTRAL,Prague,CZ-613,49.88744,13.67726,AG-7684,SENIOR,SECRET,T-039,OP-2024-001912,NIGHTFALL-854,INSIDER_TRADING,Logistics,9,CRITICAL,OSINT,SIGINT,74,27,18,33,27,143068,767,27,N,Y,Y,Y,IN_REVIEW,P1,Y,2,N,aurora-2.0,source reliability downgraded,21.17,39.98,32.3,30.99,6.88,42.31,14.56,6.89,25.31,37.32,13.59,19.55,11.2,10.55,13.04,4.8,14.47,7.99,14.97,22.56,6.14,5.35,1.01,0.93,3.62,0.51,21.91,10.55,9.1,8.47,100,100,100,100,100,100,100,100,100,100,19.68,38.6,0,0,0,0,51.99,0,34.29,13.56,18.38,26.61,0,3.82,0,0,26.95,18.61,38.39,32.2
EVT-0001927,2024-06-15 19:14:53,CZ,EU-CENTRAL,Prague,CZ-661,50.11696,15.38763,AG-1594,FIELD,SECRET,T-019,OP-2024-001927,SPECTRUM-783,RANSOMWARE,Energy,3,CRITICAL,FININT,HUMINT,90,88,92,94,76,449172,4489,143,N,N,N,N,IN_REVIEW,P1,N,1,N,aurora-1.2,incomplete metadata,82.95,71.04,100,79.35,85.91,80.13,90.79,92.63,95.04,88.62,44.65,45.35,47.28,40.76,43.58,49.16,46.38,46.77,39.74,51.59,47.94,51.87,34.79,52.65,46.31,44.16,55.44,46.4,30.94,46.76,100,93.55,98.2,100,100,100,100,92.54,93.35,100,13.46,30.0,17.88,67.05,67.69,65.25,67.27,45.91,58.81,42.43,13.89,38.67,45.67,14.76,33.14,54.16,28.56,16.54,12.65,26.33
EVT-0001942,2024-02-23 00:28:57,CZ,EU-CENTRAL,Prague,CZ-980,49.77334,15.28564,AG-7428,JUNIOR,TOP_SECRET,T-011,OP-2024-001942,SPECTRUM-696,INSIDER_TRADING,Telecom,5,MEDIUM,HUMINT,OSINT,52,45,45,48,40,225130,2644,70,N,Y,N,N,CLOSED,P3,N,1,N,aurora-1.2,pattern matches known cluster,59.24,59.54,39.94,49.7,71.95,40.73,59.56,40.43,53.48,42.83,20.79,24.51,19.78,22.51,23.08,23.73,17.76,20.06,22.12,23.9,27.04,19.97,29.87,28.72,20.93,33.74,23.32,24.98,30.54,25.5,84.59,68.51,83.11,80.24,65.41,100,100,65.7,65.8,79.44,24.16,27.79,65.64,44.38,5.78,20.54,42.84,32.69,33.04,37.73,15.68,60.26,24.94,29.08,18.2,16.25,18.8,27.73,0,41.37
EVT-0001943,2024-04-21 14:24:01,CZ,EU-CENTRAL,Prague,CZ-483,49.60588,14.33328,AG-4616,HQ,SECRET,T-013,OP-2024-001943,NIGHTFALL-046,MONEY_LAUNDERING,Defense,10,CRITICAL,OSINT,CYBINT,75,54,46,58,56,280113,2297,106,Y,N,Y,N,CONFIRMED,P1,Y,1,N,aurora-2.0,possible duplicate event,70.38,50.02,72.47,65.68,50.47,69.8,45.94,47.96,50.17,38.59,21.92,24.81,19.29,33.57,34.34,32.06,23.68,31.27,25.55,34.78,34.47,26.7,25.94,16.99,23.62,11.48,17.55,19.58,21.22,27.07,100,100,100,100,100,100,100,100,100,100,27.96,35.23,0,16.83,10.37,27.4,62.95,0.82,32.93,17.44,0,14.6,52.86,40.06,33.7,34.17,9.49,51.49,25.01,18.12
EVT-0001946,2024-02-12 17:58:16,CZ,EU-CENTRAL,Prague,CZ-375,49.53158,14.8066,AG-6666,ANALYST,CONFIDENTIAL,T-039,OP-2024-001946,PHOENIX-022,RANSOMWARE,Defense,6,LOW,HUMINT,SIGINT,87,28,31,30,23,138261,1280,30,Y,N,N,N,IN_REVIEW,P3,N,0,N,aurora-1.1,manual verification pending,26.3,22.78,37.06,44.31,20.67,38.78,43.09,44.47,26.71,16.38,15.94,18.89,21.97,11.95,19.89,7.12,24.29,14.18,16.6,23.14,10.01,15.28,9.36,19.44,9.27,1.93,22.24,6.48,23.5,9.54,76.21,69.1,78.85,80.52,83.65,78.41,71.6,85.5,93.14,94.35,25.69,28.11,11.95,48.88,0,0.81,21.26,22.91,7.14,0,0,0.99,13.41,0,16.14,0,0,49.75,49.2,14.4
EVT-0001947,2024-09-09 16:26:09,CZ,EU-CENTRAL,Prague,CZ-180,51.2532,13.46365,AG-7871,FIELD,CONFIDENTIAL,T-013,OP-2024-001947,DEEPBLUE-864,ESPIONAGE,Finance,3,MEDIUM,SIGINT,FININT,66,48,49,57,36,212470,2545,111,Y,N,Y,N,IN_REVIEW,P3,N,0,N,aurora-1.2,manual verification pending,35.95,39.41,38.97,43.88,40.6,52.57,51.35,29.6,38.42,43.98,22.52,28.61,25.22,26.1,21.48,20.88,24.6,26.31,20.01,31.49,22.88,31.03,26.3,31.21,30.92,19.86,23.16,27.95,31.21,35.31,78.59,52.62,70.14,56.96,82.29,53.25,51.65,60.55,64.04,68.6,23.37,22.15,30.13,2.92,58.62,0,41.5,32.69,6.19,19.51,59.04,30.36,39.02,5.86,59.12,36.53,0,12.93,0,0
EVT-0001948,2024-07-04 19:24:05,CZ,EU-CENTRAL,Prague,CZ-363,49.03144,14.44442,AG-6750,JUNIOR,CONFIDENTIAL,T-028,OP-2024-001948,DEEPBLUE-216,MONEY_LAUNDERING,Finance,5,MEDIUM,FININT,OSINT,68,59,62,71,42,300732,2171,109,Y,N,N,Y,NEW,P3,N,0,N,aurora-2.0,pattern matches known cluster,43.29,53.78,58.27,53.07,60.62,73.84,60.2,71.15,58.79,47.82,29.78,22.04,27.96,36.61,36.59,36.54,26.1,26.97,30.06,32.24,19.1,28.06,33.96,22.44,20.04,18.55,26.54,32.4,33.78,12.26,63.15,86.74,79.8,67.6,93.82,69.04,89.08,81.6,64.5,70.03,33.06,18.52,73.43,39.36,59.88,30.58,0,42.91,3.88,35.14,0,7.78,8.58,0,26.41,15.67,18.95,27.56,50.08,0
